congress,nominate,pca,mds,umap
095,1.0341919911513184,1.680343868227327,1.0631080887789215,1.8960874154439864
096,1.1567830915683661,1.7619159256251506,1.5612337479092204,2.071923777809736
097,1.132509247302575,1.3190750871891772,0.9202689730406788,2.123781323839097
098,1.3128583026257314,2.2693028566892197,0.7656077184035713,1.6152147200447609
099,1.709925921895729,2.973360976079324,1.245634843226101,3.883725652786437
100,1.6635977801329018,3.006453693182125,2.1599748136498524,3.4215907823821063
101,1.4929737837008061,2.438379750550129,1.8813866497687013,2.902254934448466
102,1.875478783254387,3.06149753150246,1.9857062917604005,4.363787863385983
103,2.3759080009760885,4.482083768033056,3.0488356157708756,5.47364529177392
104,3.2282132968028727,6.507038302894169,2.3641405427769366,6.52756688816823
105,3.6634081781735364,6.924636328512427,2.525149192395784,7.831532059261708
106,2.634832641924625,5.038698327407789,2.1035318390578994,5.850127569871953
107,3.0643177867546454,5.606959571372168,3.8112802369814878,6.5523531563881185
108,6.463324579677722,12.95177457196609,6.625535816182768,14.582655967267813
109,6.287252729403049,12.389019977155149,6.098867169876343,13.068729045526792
110,6.8262456699865695,11.813550811291803,3.6003549761047626,12.526431309054537
111,3.0266458283700697,5.273734603557503,2.9406447782787932,5.787259654551505
112,3.1962091676441147,6.150897831134301,4.32494662375909,4.973030130728324
113,8.316209317777197,16.595645939420184,11.993149293872639,16.355683031079188
114,7.631192272995198,15.230412890494003,7.204172428199657,15.448283997958669
115,5.1639018597851125,8.214890233107434,6.243044618168814,10.372460967516961
116,6.412340110122729,11.102325824931492,6.673566752928989,11.882584359336892
117,4.889173666083544,6.761191106162212,5.2107502125224485,8.721797744281925
118,5.39924806601672,8.412949528018089,6.338557126882058,10.132406898220385
