icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
2605,10.24082427365038,1.6927607531538547,-15.743631107940876,-4.667684885173661,14.110107,3.925289
10573,-9.601969102019149,-39.98790534512201,-23.794682434039114,36.903395709843885,-9.588844,9.541024
10713,11.334556041505245,-1.824547941217777,-18.41559200777647,-12.09764447212609,15.305074,3.8214734
10757,11.122633080998579,0.3058007692747955,-9.486338562701398,-10.73163803175194,14.757072,3.842976
12009,9.461440504100464,-4.893551410175345,-23.991058512955032,3.0524436835050253,14.622315,4.516965
12036,10.7407983499482,0.856253424961614,-2.47335443420577,-16.66330705322959,15.096951,4.3265553
12041,-9.974712576610822,-0.39991718303216545,6.124420574297712,19.87426745988977,-11.428721,12.693262
13002,-10.433924370104567,0.4875888014110685,17.27881849953498,9.088859446082258,-11.122926,12.120225
13035,10.4388452494426,-4.057491736956876,4.639280528878899,-21.844285027298145,14.420833,3.1318643
13042,-9.55595932861084,1.1965523453173799,3.649570815849193,14.460520252844415,-11.580714,11.088429
13047,-8.092289081659173,0.5079605746467901,-3.814052270903261,14.327192292351073,-11.817452,10.236423
14015,-3.126578097007197,1.1604337992163396,9.508102902677823,-5.777975395400132,-12.258864,8.595232
14039,10.652328086350211,-1.1108486721862592,-1.6274640736274486,-16.128056223199785,13.960867,3.8240323
14045,-7.56463776356054,3.405351107964822,5.462249882227538,3.3025896245268047,-12.180728,9.985443
14052,-8.11272043058497,-1.6224870107254126,18.183982776142365,-3.902649933565871,-11.344293,11.1526
14066,-9.033147716431179,-1.9547646700576555,20.390607562391764,-2.637684388619635,-11.244922,11.285164
14072,5.649537448704731,1.7419441909646534,-12.345413174834691,3.905382920122888,12.719428,4.719547
14239,-8.199540717275891,1.9751296566507734,10.756731788706784,0.7770273176333771,-12.0549345,10.397606
14248,9.979186211534412,1.3123589287831006,-0.7674742031780237,-13.03776650175624,13.548904,4.28863
14265,10.944274551500953,2.6251590704673835,1.045984415505163,-18.862672203333524,13.778063,4.9506555
14280,10.336944344742827,-3.295745525200593,4.381864498261928,-20.181723745148254,14.796228,3.677113
14288,-9.201436109809489,1.1557487638631303,2.8117573100764623,14.189129444751654,-11.840609,11.301879
14290,-6.579021815509852,5.286525197912119,2.87656720819235,23.066661311823307,-10.905495,13.25447
14407,11.891485673838565,0.7244338986249564,-6.998855337328037,-14.54136540385615,14.507394,3.9444408
14413,9.596714818579548,-0.027234426602573067,-11.294489452134087,-4.9052041411292455,13.694436,3.773546
14430,10.066262419315848,1.6074389614398303,-5.633844246757734,-8.023700007781086,12.999907,4.476547
14432,-4.430103751536837,-0.010159741263843863,9.20294261285599,-3.98588508338074,-11.94933,8.883762
14435,10.025861055782766,-2.7325276828926097,-21.083683178345026,-2.3125649219453206,15.197912,3.9065862
14448,7.623985658129574,1.8270143198926982,-11.228864095908056,-0.6164858472668441,12.648004,4.5628715
14451,5.294484789850168,1.4232476300748784,-9.940338644189154,2.2094091073576463,11.600339,4.036646
14454,-10.5625105991528,4.0042895264375895,9.974729716163926,8.653791892905941,-10.955781,12.098381
14458,3.228734365529485,-16.9552766910531,20.092070096533973,-23.569488197460362,-10.105375,9.405931
14469,-11.329487527412384,-41.44308722883251,-20.111630441325854,40.204291821133026,-9.556636,9.592531
14605,-6.737548970048019,1.7085989371435422,10.340809065688559,-1.7219793155532865,-12.420065,10.204094
14620,11.266970000732103,-1.1310300151475539,-12.993173107764173,-10.920417507441591,14.217279,3.9001982
14626,9.72266575732476,0.7329584060659329,1.4933911846028192,-14.349687545534245,13.266124,3.1560595
14632,7.937504721510048,-0.5691566124395122,-12.900261803972562,0.04411882426481194,13.282223,4.257659
14644,-8.18963710343714,2.819631773683756,-1.3456354026237862,11.5729046982192,-12.120924,10.44833
14649,11.486874611501431,0.23849027849225204,-7.255171389606108,-11.711840909580555,14.039289,3.5599
14656,12.189841876288918,2.410667294960768,-13.286014192493408,-13.582037473822334,14.088443,4.783768
14657,-9.147361671429168,2.7530424706946977,9.23932798890212,14.814002415209266,-10.936464,13.190004
14664,2.705335655231928,4.637552978207702,-8.365658509901264,4.238637734207195,11.659267,4.0967083
14669,-9.695129173540774,1.8275042453528445,16.07123813284537,2.8055954781574535,-12.244079,10.698932
14675,-8.322552463320553,2.0982532491255053,2.1302036377942706,9.025917180030966,-11.257969,13.123214
14677,-3.3480720585516894,-0.4831506641541527,12.120513197842293,-7.609872660579336,-12.183846,8.644551
14802,-9.06591287234682,1.454874975642004,0.29683449621182995,12.929698028039637,-12.132035,10.668428
14808,12.216954750432953,0.1908068156230017,-9.788305858176395,-12.469006440937859,14.936105,3.627343
