icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
21112,11.579222625886109,3.352156116435279,-10.425041659815648,6.3992197263971295,-7.4994345,15.340773
21113,-13.096144929697388,-0.8256121064415077,14.27320318826394,10.841857623237122,14.471868,9.346899
21114,12.078742500787689,2.6950257190733877,-11.866175186837493,3.0887072215558824,-8.716442,15.868614
21115,11.9658432117548,2.7152577048446043,-14.698921997734457,5.625464538711303,-8.166814,15.323005
21116,11.15092100733568,1.6072807447451314,-9.809025668504475,8.914776589278153,-8.682353,16.771837
21117,11.925807115481883,2.2128320326421624,-12.59232033307416,-0.828009833325426,-8.652173,15.543404
21118,-15.716893798218434,1.241076932111836,18.034761359274686,-3.856706642582803,14.793364,10.5977335
21122,11.785431627341678,2.4241789035112817,-15.885514032872331,-6.6221007313641325,-8.225122,14.349952
21123,12.01330022217739,2.7564120034714352,-12.94735977978686,3.682305013636071,-9.51513,15.704863
21124,-11.902709511601985,-3.139076660251261,13.076843772009305,16.548255363908428,14.50053,9.210101
21128,10.944999167508957,4.734171650393746,-9.974524498925529,-6.210056704888629,-6.722377,15.732921
21129,12.418772764094372,2.3987612369963736,-13.20404769883304,2.0859385909194357,-9.660119,15.684525
21131,11.665200349000752,0.30198490908601844,-15.141769261286582,8.862712699328474,-9.485169,15.582083
21132,11.928186503939344,3.20653350290145,-11.828602956968405,-3.0394883034368783,-7.5413775,15.995577
21133,11.796430024798903,2.3945022472258275,-10.277794444010699,2.6783260162103484,-8.085309,16.620363
21135,12.145458004898861,3.1440682764069114,-14.033285195352788,-4.015520948719038,-7.645822,14.857219
21136,12.408931847679431,0.1737540492323177,-20.051672495790125,5.670886374590836,-9.483784,16.352068
21137,-11.928329466019548,-4.091935705185573,10.077395817187774,-22.26140331911297,14.470402,9.769699
21139,12.167891686481838,2.3891274398279267,-14.433792690525824,4.098269340322353,-9.21978,15.394816
21140,-14.423816779011704,1.8245087418299821,14.844108977888482,-8.873393426205892,14.267836,9.906492
21141,10.827118814481755,1.8365369539011323,-9.086011145993316,9.677952096419473,-7.4826264,15.073911
21142,12.29879586707683,2.915947060988403,-15.692199647366277,-1.6617764573695737,-8.574963,14.561555
21147,11.591632285065028,-7.666009022856374,-15.058026034673999,21.592547976098597,-9.429198,16.394201
21148,11.936662956763184,0.4756736637387582,-18.721409173819495,6.195258133389026,-8.13607,15.804192
21149,11.589509942791242,1.3429989208600805,-11.44766863892905,10.639076716521867,-7.890074,15.8743515
21150,12.511654657767668,3.303034988774488,-12.959578340472369,0.4675549960388138,-9.027012,16.16539
21151,10.376538786305389,4.081277445806915,-9.065286439575518,-7.1926077442383445,-6.8408213,15.528046
21153,8.710420008060387,0.905832562056177,-5.557310390545945,12.274335410298232,-7.08646,17.076103
21154,9.111509011963832,0.9383866139593585,-9.448253456648875,-15.412959896449602,-7.145369,16.660866
21156,4.204202059156453,1.0744408585835645,-1.6700437180101517,10.044296956692358,-6.4339614,15.769127
21157,8.549560380400067,-0.09774154252421406,-5.495128444115039,14.702050088413369,-6.6163893,15.918983
21159,11.765113637142283,3.45462923506678,-10.008553624688805,-0.5094899772329043,-7.737093,16.59003
21162,12.111569063895834,3.9532809796031985,-12.62417284545281,-3.418348768582166,-7.3808784,15.134803
21163,10.449501808952945,2.947550563133931,-7.64177838926601,8.071482575803563,-6.8757076,15.65034
21164,11.634480672350401,4.601063902932975,-11.18152313526166,-4.456019094839574,-6.8764157,15.571641
21165,12.072498789767913,2.979408830016454,-11.16612339753073,0.6531259872658283,-7.9274025,16.21228
21166,10.990337988762441,-2.089496289333955,-10.409375099424235,15.923173964336208,-8.369195,15.800537
21167,11.71028465500278,3.700253391434599,-10.249887846431662,-1.6521844185260088,-7.6673737,16.873264
21168,10.56355668740494,4.315114357404126,-8.391195551499374,-3.1669144862250684,-6.7805967,16.457296
21170,11.603839388466444,3.3782509789741804,-9.504786353038519,-0.6949735055990419,-7.131099,16.872759
