Unnamed: 0,typeid_x,afstemningid,aktørid,party,dato
625609,1,5973,1830,Socialdemokratiet,2004-10-19 13:15:00
625610,1,5973,1951,Venstre,2004-10-19 13:15:00
625611,1,5973,665,Det Konservative Folkeparti,2004-10-19 13:15:00
625612,1,5973,1023,Socialdemokratiet,2004-10-19 13:15:00
625613,1,5973,1730,Radikale Venstre,2004-10-19 13:15:00
625614,1,5973,33,Socialistisk Folkeparti,2004-10-19 13:15:00
625615,1,5973,662,Dansk Folkeparti,2004-10-19 13:15:00
625616,1,5973,666,Socialdemokratiet,2004-10-19 13:15:00
625617,1,5973,1115,Venstre,2004-10-19 13:15:00
625618,1,5973,1124,Venstre,2004-10-19 13:15:00
625619,1,5973,1804,Socialdemokratiet,2004-10-19 13:15:00
625620,1,5973,206,Venstre,2004-10-19 13:15:00
625621,1,5973,1744,Socialistisk Folkeparti,2004-10-19 13:15:00
625622,1,5973,234,Venstre,2004-10-19 13:15:00
625623,1,5973,145,Moderaterne,2004-10-19 13:15:00
625624,1,5973,661,Uden for folketingsgrupperne,2004-10-19 13:15:00
625625,1,5973,1353,Socialdemokratiet,2004-10-19 13:15:00
625626,1,5973,125,Venstre,2004-10-19 13:15:00
625627,1,5973,1768,Socialdemokratiet,2004-10-19 13:15:00
625628,1,5973,675,Venstre,2004-10-19 13:15:00
625629,1,5973,1757,Venstre,2004-10-19 13:15:00
625630,1,5973,1280,Socialdemokratiet,2004-10-19 13:15:00
625631,1,5973,1299,Det Konservative Folkeparti,2004-10-19 13:15:00
625632,1,5973,48,Danmarksdemokraterne,2004-10-19 13:15:00
625633,1,5973,226,Socialdemokratiet,2004-10-19 13:15:00
625634,1,5973,1319,Socialdemokratiet,2004-10-19 13:15:00
625635,1,5973,1761,Det Konservative Folkeparti,2004-10-19 13:15:00
625636,1,5973,3042,,2004-10-19 13:15:00
625637,1,5973,1740,Dansk Folkeparti,2004-10-19 13:15:00
625638,1,5973,348,Socialistisk Folkeparti,2004-10-19 13:15:00
625639,1,5973,1094,Socialdemokratiet,2004-10-19 13:15:00
625640,1,5973,379,Socialistisk Folkeparti,2004-10-19 13:15:00
625641,1,5973,1250,Socialdemokratiet,2004-10-19 13:15:00
625642,1,5973,296,Venstre,2004-10-19 13:15:00
625643,1,5973,1822,Socialdemokratiet,2004-10-19 13:15:00
625644,1,5973,212,Venstre,2004-10-19 13:15:00
625645,1,5973,1791,Venstre,2004-10-19 13:15:00
625646,1,5973,1749,Venstre,2004-10-19 13:15:00
625647,1,5973,1558,Kristeligt Folkeparti,2004-10-19 13:15:00
625648,1,5973,12,Socialdemokratiet,2004-10-19 13:15:00
625649,1,5973,1916,Det Konservative Folkeparti,2004-10-19 13:15:00
625650,1,5973,1774,Venstre,2004-10-19 13:15:00
625651,1,5973,1747,Socialdemokratiet,2004-10-19 13:15:00
626316,1,5977,183,Danmarksdemokraterne,2004-11-18 10:00:00
626317,1,5977,648,Det Konservative Folkeparti,2004-11-18 10:00:00
626318,1,5977,1885,Venstre,2004-11-18 10:00:00
626319,1,5977,1371,Dansk Folkeparti,2004-11-18 10:00:00
626320,1,5977,216,Dansk Folkeparti,2004-11-18 10:00:00
626321,1,5977,211,Dansk Folkeparti,2004-11-18 10:00:00
626322,1,5977,131,Det Konservative Folkeparti,2004-11-18 10:00:00
626323,1,5977,1433,Dansk Folkeparti,2004-11-18 10:00:00
626324,1,5977,1047,Uden for folketingsgrupperne,2004-11-18 10:00:00
626325,1,5977,1821,Venstre,2004-11-18 10:00:00
626326,1,5977,49,Venstre,2004-11-18 10:00:00
626327,1,5977,350,Venstre,2004-11-18 10:00:00
626328,1,5977,149,Det Konservative Folkeparti,2004-11-18 10:00:00
626329,1,5977,647,Venstre,2004-11-18 10:00:00
626330,1,5977,164,Venstre,2004-11-18 10:00:00
626331,1,5977,1779,Venstre,2004-11-18 10:00:00
