icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
633,-1.996396947088765,2.7016975907081364,0.8106006865749952,0.09402349564347395,13.631029,0.5016047
1077,-6.101393391762838,2.0339800420996355,3.0802303785215326,-14.515204659554705,13.179956,-0.43332893
1087,7.151943992044042,-4.456880392702187,18.4539455363847,-6.637735251633521,-6.685237,12.932305
2009,-15.959040848743285,-34.271317762125555,-38.156996147185744,10.96899739645047,5.7207375,-0.3568927
2605,-7.0949608447269075,2.183121372151163,-12.694197531061016,-2.7523641321876773,13.5317955,-0.64071167
3078,-7.2472589654507145,3.5265893085482047,-2.380868049988093,-12.869957413048065,12.882052,-0.63601846
6845,-5.229773478313413,5.089532997224598,-1.7925376774647743,-4.2370231816558785,12.48765,0.2971258
8080,-6.608999409061424,1.4774487003742078,-12.395886423688058,-0.837415653713682,12.974249,-0.39319652
8672,-5.782900746962214,3.517750584732665,-11.296859375195272,0.6755206899461926,12.761547,-0.36972228
10075,-7.413988871300576,-2.569679153635802,-19.16390638025627,3.497405500553382,12.413881,-0.14357567
10421,-7.996448971176198,1.7538676427171742,-5.398130083214206,-17.04885164531469,13.930234,-1.2005249
10520,-6.465763405835671,5.409342303955415,-1.8992486240252644,-9.300682316921826,13.252757,-0.78023326
10566,-16.230943340392734,-34.31851903185848,-38.73828954987257,9.542255672780664,5.8034153,-0.43974912
10573,-7.304525426636937,1.387385744345232,-13.439207171782613,-3.206191089134282,13.293238,-0.5616182
10583,-7.7529563756383215,3.827943381309248,-8.00765234708147,-9.068663868586084,13.489962,-1.3755459
10588,-5.399921647573846,2.1442846811921683,-7.828766020621121,0.7070193090851635,12.708831,0.42824116
10596,0.8921995556570047,0.9998942193394998,-6.575589340503554,11.041017518960206,-5.1610575,13.070934
10607,3.21576898530803,-3.209760139940756,-9.506120852337181,16.470092245100666,-5.9782324,13.339357
10614,-4.9182622044451945,1.5773193297983763,3.6494776288701707,-9.703026873033233,12.493851,0.5483807
10616,6.855332227002754,-1.3060629380636462,-3.52115156695768,16.74301149320249,-6.3265586,13.869379
10621,-7.47683873075521,3.401527697322247,-3.950857586176815,-13.392765695154635,13.826052,-1.7443297
10703,-6.405067514761743,2.2809862682943214,0.3059339885427115,-13.288049400329129,13.083645,-0.91847473
10713,-8.938468166946587,-2.00232846195687,-7.070803373860769,-19.737347844898085,13.923374,-1.7845664
10716,-6.44457366082926,1.0877689699946307,-12.853910184965736,1.140057964237915,12.863559,0.33744872
