session,ID,party,name,coord1D,coord2D,se1D,se2D,var1D,var2D,loglikelihood,numVotes,numErrors,GMP,numeric_id,original_id
1,Legislator 1,1,Legislator 1,0.369593381881714,0.0493910722434521,0,0,0,0,-99.0965347290039,406,46,0.783424854278564,1,14066
1,Legislator 2,1,Legislator 2,0.422442108392715,-0.896344780921936,0,0,0,0,-58.9526405334473,835,23,0.931832730770111,1,14066
1,Legislator 3,1,Legislator 3,0.250315308570862,0.103105276823044,0,0,0,0,-180.920532226562,827,78,0.803508698940277,1,14066
1,Legislator 4,1,Legislator 4,-0.595199406147003,-0.0657705366611481,0,0,0,0,-15.9281892776489,822,5,0.980809152126312,1,14066
1,Legislator 5,1,Legislator 5,-0.405710756778717,-0.146809354424477,0,0,0,0,-32.6531028747559,831,17,0.96146821975708,1,14066
1,Legislator 6,1,Legislator 6,-0.62311989068985,-0.177900016307831,0,0,0,0,-15.9291563034058,830,7,0.980991244316101,1,14066
1,Legislator 7,1,Legislator 7,-0.477656215429306,0.637405216693878,0,0,0,0,-18.5710468292236,827,8,0.977794349193573,1,14066
1,Legislator 8,1,Legislator 8,-0.603122711181641,0.108526811003685,0,0,0,0,-11.5041770935059,811,3,0.985914945602417,1,14066
1,Legislator 9,1,Legislator 9,0.1966392993927,-0.0370758213102818,0,0,0,0,-131.060424804688,839,65,0.855379283428192,1,14066
1,Legislator 10,1,Legislator 10,-0.721154153347015,-0.0748616829514503,0,0,0,0,-0.250009000301361,121,0,0.997935950756073,1,14066
1,Legislator 11,1,Legislator 11,-0.606309115886688,0.490320444107056,0,0,0,0,-14.9126253128052,839,5,0.982382714748383,1,14066
1,Legislator 12,1,Legislator 12,-0.577592432498932,0.135919779539108,0,0,0,0,-15.9722023010254,834,7,0.981030881404877,1,14066
1,Legislator 13,1,Legislator 13,-0.636841654777527,0.109442181885242,0,0,0,0,-14.4051733016968,840,6,0.982997179031372,1,14066
1,Legislator 14,1,Legislator 14,-0.489196956157684,0.087475910782814,0,0,0,0,-17.3141574859619,834,6,0.97945362329483,1,14066
1,Legislator 15,1,Legislator 15,-0.672867000102997,0.0445538461208344,0,0,0,0,-24.0911083221436,835,11,0.971560597419739,1,14066
1,Legislator 16,1,Legislator 16,0.489637494087219,-0.174195230007172,0,0,0,0,-72.5166931152344,836,24,0.916913211345673,1,14066
1,Legislator 17,1,Legislator 17,-0.548473954200745,-0.0669623017311096,0,0,0,0,-18.6535453796387,835,7,0.977908134460449,1,14066
1,Legislator 18,1,Legislator 18,0.487167507410049,-0.389853328466415,0,0,0,0,-80.4882049560547,812,31,0.905630946159363,1,14066
