icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
2605,-8.37070272418244,5.964550045689722,-6.432201580279633,10.539609925480864,16.404665,14.906702
10713,-10.080362477306506,2.7162198416887278,-23.482336941011233,1.6105598957847376,17.439642,15.404157
12036,-8.390994225110394,6.321732306187585,-13.703084264540097,2.7784675205902305,16.19929,14.668533
13035,-8.765858630222322,4.182966554037449,-17.933787593744942,-3.1010798947760767,16.470602,14.963797
13047,4.730779683383481,-4.9948683379343155,-14.373208092088351,-22.73308388549611,-4.4406075,7.6537104
14053,-12.089088127434838,0.18578604747231112,-19.327579943812825,17.31258084439588,17.268566,15.177804
14066,7.367800235676485,-1.6797513651027938,-11.604256766183417,-22.594740843140283,-4.8753705,7.997996
14072,-19.08396497141672,-7.312826452188834,-13.88909226355646,29.782319474431873,-0.5964305,6.404348
14256,-8.940384741860196,6.289602664894431,-12.932453920351994,8.568229064824573,16.44585,14.83286
14265,-8.289900709291173,6.454788008142273,-7.159349530697153,8.647346395820403,16.422565,14.682604
14280,-8.952601972231605,5.795785288847007,-11.92046949237438,10.950128272813707,16.873476,14.931665
14290,15.56371390230026,-1.017792426367045,28.577686529193514,-6.398087811412346,-6.159576,4.6859612
14413,-8.022259434227362,5.920067059872771,-5.048818364794679,7.615133050712739,16.224104,14.942635
14430,-7.560843502849945,7.528939327335189,-8.136751993012039,2.723881860041788,16.02961,14.31662
14435,-8.211548109725015,6.89371022746152,-12.795467746186961,3.269430131052837,16.293716,14.772384
14448,-6.9496972555310785,7.046092808336651,-9.227728314346274,-0.4361330760458936,15.77625,14.476076
14451,-5.880356854920974,5.338891511053877,-9.437334726717973,-3.756091799274736,15.781172,14.272687
14644,14.959725160173775,-0.6566586839914864,4.799602079303338,-18.40815986236305,-4.3512087,7.162078
14647,15.740180882102031,-2.7881726693972335,11.669259735899315,-12.847775644177858,-5.1536393,5.9994416
14657,17.965389506088417,-2.6404711956061533,14.601387714285632,-16.271974473303846,-6.15069,4.6192465
14675,15.553905315997074,-3.12001782505763,11.238945271628632,-13.854316624045858,-5.509502,5.6070457
14813,15.61500112649381,-1.0186510108175844,7.282816046520371,-16.06262573414045,-4.495519,7.096781
14824,-8.657508307824724,5.7995681362522316,-16.398545162005075,5.283325502735554,16.092049,14.771051
14854,14.764366765965784,-0.9679430123899477,6.318537622888731,-15.4095093777321,-4.5860043,7.4612446
14863,11.000970643364044,0.5206782351796057,9.79723003949688,-5.581287337735471,-4.8346715,8.184952
14869,14.005723851137732,0.034189536049425984,6.302775619062365,-12.911909182725513,-4.5975175,7.610678
14873,-8.263160013224828,6.570908535690717,-7.59081001275686,6.933443817843991,16.185629,15.189158
15000,-9.25270488351799,4.232503409574497,-19.486255207831405,-1.4466789865141132,16.26295,15.295851
15005,-8.431069396350084,5.310326042041465,-16.374083497666895,-0.9044441493314813,16.085121,14.48338
15010,-7.993446467960839,3.1098583819420877,-0.1840264294205839,13.411111317471969,16.493864,14.724569
15014,16.390622856816915,-3.181341377750738,15.581566828155733,-13.106821285987394,-5.3841777,5.188722
15019,-4.858323370679187,2.700128195231054,2.099466388409639,7.239667085630055,14.996286,14.600352
15029,-7.754021851025181,5.348928072226388,-2.915231460581813,10.526199993036258,16.034773,14.313261
15033,-8.087879855344209,7.49536553639964,-9.340924167085959,3.2120193747759083,15.79952,15.086495
15049,-8.420671401829507,6.475735359494377,-13.404142730581121,0.11868327040998528,16.173523,15.330689
15064,-7.418666218317419,5.796592995358531,-8.454077007254297,0.44818471610919314,16.343616,14.442625
15072,-9.097716431262901,5.596413744806815,-16.15750907719463,7.5555932544353945,16.732115,14.786023
15083,-8.914078107298328,5.14789928676393,-18.107944144181907,0.9396935983093282,16.745296,14.313718
15085,13.893874601641341,-3.2232615675827425,18.970035715194385,-3.72695742337899,-4.7457137,6.3296123
15092,16.038915818106993,-3.8648592484094513,11.020587516667776,-20.054432765768897,-5.3638663,5.1771293
15100,-8.461447271065644,4.147289432381968,-17.42054420172672,-4.5643867056138845,16.358686,14.4431
15104,-7.222591799833805,6.789625568371544,-8.502973593586448,1.1459811562628697,16.162226,14.847021
15124,-7.192211138357388,6.739988619506749,-5.173730788574335,4.9078813213368315,15.733067,14.763934
15245,-18.506677982396003,-7.341783179829839,-9.836442041297987,30.404767382700904,-0.6546727,6.456425
15410,-8.344114998619803,5.484838801228179,-9.545525919168062,10.933810623134987,16.136087,14.54268
15413,14.123891268865442,-2.670547562098046,2.9603702409421007,-19.70343996274614,-4.7135034,6.837491
15420,17.380591979187365,-3.411587679768152,13.36407033159631,-17.065152445049932,-5.5077195,4.9197206
15431,-8.659304500481545,-1.612195986197748,5.345711647413527,18.839433940773755,15.410422,15.700789
