congress,nominate,pca,mds,umap
095,1.3536544386797358,1.6803438674841218,1.2656727757815116,1.7700082231965977
096,1.5003671745374407,1.7619159255046326,1.5612337479092204,1.7592057874771239
097,1.4436064337827592,1.3190750872856345,0.9202689730406788,2.2928988752238855
098,1.696199357397587,2.2693028564905,0.7656077184035713,2.549121694887244
099,2.401581350977145,2.97336097608304,1.245634843226101,3.6418471363687206
100,2.336513736141715,3.0064536931695756,2.1599748136498524,3.587593831696216
101,2.0243712321366862,2.438379750547644,1.8813866497687013,3.023425823252158
102,2.410641109581474,3.0614975315023996,1.9857062917604005,4.518101327141479
103,3.2636098914506704,4.48208376803304,3.0488356157708756,5.375636747966036
104,4.125512200387057,6.50703830289414,2.3641405427769366,7.269823264603064
105,4.791900821678923,6.924636328511637,2.525149192395784,8.055349660247192
106,3.424084005100225,5.038698327407463,2.1035318390578994,5.81753368657612
107,3.9822193460099347,5.606959571372082,3.8112802369814878,6.813247517080566
108,8.3993821698216,12.95177457196618,6.625535816182768,13.944889071691884
109,8.170568849126727,12.389019977155117,6.098867169876343,13.698753563451389
110,8.871014515901805,11.813550811291814,3.6003549761047626,14.016274297205957
111,3.8094975813342566,5.273734603557508,2.9406447782787932,6.515865274458905
112,4.022919027871765,6.1508978311343006,4.32494662375909,4.099686385230268
113,10.467223810921837,16.595645939420177,11.993149293872639,16.95122677763762
114,10.141119299661327,15.23041289049401,7.204172428199657,15.378489096079406
115,6.426760248643562,8.214890233107438,6.243044618168814,9.244197049473689
116,7.877567702853475,11.102325824931496,6.673566752928989,12.24567563122044
117,5.695018830615673,6.761191106162215,5.2107502125224485,9.636576393921937
118,6.466165348523031,8.412949528018027,6.338557126882058,10.45746817746451
