icpsr,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
633,-1.9963969470866012,2.7016975898362547,-0.00443684679592434,-0.010443486039999303,13.631029,0.5016047
1077,-6.101393391766061,2.0339800434506805,0.007334870289067191,-0.09321179163541399,13.179956,-0.43332893
1087,7.151943992059294,-4.45688039064108,0.14017772579437368,-0.0025461058125117878,-6.685237,12.932305
2009,-15.959040848730725,-34.27131776450112,-0.2636531943048885,0.837182540272074,5.7207375,-0.3568927
2605,-7.09496084473701,2.1831213714428412,-0.0766982140268728,-0.03839446599008937,13.5317955,-0.64071167
3078,-7.247258965436277,3.526589307485179,-0.06276689424178854,-0.04363319390158274,12.882052,-0.63601846
6845,-5.229773478307338,5.089532996276951,-0.02258321094503498,-0.03217834303687371,12.48765,0.2971258
8080,-6.608999409064417,1.4774486991789209,-0.07627918859417433,-0.021180783808604286,12.974249,-0.39319652
8672,-5.782900746959269,3.517750584357638,-0.0011328881368418433,-0.08209304997030657,12.761547,-0.36972228
10075,-7.413988871311758,-2.5696791556380782,-0.1536418695409483,0.007750198282526015,12.413881,-0.14357567
10421,-7.996448971167118,1.7538676366183923,-0.05212945846440594,-0.11163793824997469,13.930234,-1.2005249
10520,-6.465763405832101,5.409342304326712,-0.028572550755895675,-0.05257042513056285,13.252757,-0.78023326
10566,-16.230943340377884,-34.31851903445159,-0.4813720996681195,0.7889892534469366,5.8034153,-0.43974912
10573,-7.304525426645301,1.3873857473203177,-0.08417529561660451,-0.034195476321391506,13.293238,-0.5616182
10583,-7.752956375630087,3.827943380202937,-0.04202135862702036,-0.06707466424548458,13.489962,-1.3755459
10588,-5.39992164757726,2.1442846805474307,-0.04815096486856487,-0.012431138048626774,12.708831,0.42824116
10596,0.8921995556464077,0.9998942194262179,-0.03544708174242711,0.054518921859517865,-5.1610575,13.070934
10607,3.2157689852829052,-3.2097601376031433,-0.0441138549921239,0.1229210477377787,-5.9782324,13.339357
10614,-4.91826220446374,1.5773193353315549,0.014431953905801877,-0.06468993476005036,12.493851,0.5483807
10616,6.855332227008603,-1.3060629403646111,-0.005008418267970074,0.10377696062383933,-6.3265586,13.869379
