,id,dato
187,431,2013-02-07T11:00:00
188,432,2013-02-06T09:15:00
189,433,2013-02-05T14:00:00
190,434,2013-02-26T14:00:00
191,435,2013-02-08T10:00:00
192,436,2013-02-28T14:00:00
193,437,2013-02-06T14:30:00
194,438,2013-02-07T10:15:00
195,439,2013-02-20T14:00:00
196,440,2013-02-27T09:30:00
197,441,2013-01-17T08:50:00
198,442,2013-02-07T14:00:00
199,443,2013-02-07T12:20:00
200,444,2013-02-27T09:30:00
201,445,2013-02-20T11:00:00
202,446,2013-02-21T14:00:00
203,447,2013-03-12T15:15:00
204,448,2013-02-28T10:15:00
205,449,2013-02-19T14:00:00
206,450,2013-02-20T11:15:00
207,451,2013-02-19T07:00:00
208,452,2013-02-20T11:00:00
209,453,2013-02-28T13:00:00
210,454,2013-02-26T14:00:00
211,455,2013-02-19T15:00:00
212,456,2013-02-21T13:15:00
213,457,2013-02-26T13:15:00
214,458,2013-02-28T13:45:00
215,459,2013-02-20T10:00:00
216,460,2013-02-21T14:00:00
217,461,2013-02-21T14:00:00
218,462,2013-03-19T17:00:00
219,463,2013-02-19T16:00:00
220,464,2013-02-21T14:00:00
221,465,2013-02-21T10:30:00
222,466,2013-02-19T13:00:00
223,467,2013-03-19T15:30:00
224,468,2013-02-19T09:30:00
225,469,2013-02-26T10:00:00
226,470,2013-02-19T14:00:00
227,471,2013-02-27T10:00:00
228,472,2013-02-21T13:00:00
229,473,2013-02-21T10:15:00
230,474,2013-02-27T10:15:00
231,475,2013-02-21T10:30:00
232,476,2013-02-22T08:45:00
233,477,2013-02-20T14:30:00
234,478,2013-03-14T14:00:00
235,479,2013-03-13T14:00:00
236,480,2013-02-28T10:30:00
237,481,2013-03-20T08:30:00
238,482,2013-03-14T10:30:00
239,483,2013-04-04T13:30:00
240,484,2013-02-28T10:30:00
241,485,2013-02-26T09:30:00
242,486,2013-02-28T11:00:00
243,487,2013-04-04T11:00:00
244,488,2013-03-14T11:00:00
245,489,2013-03-01T10:00:00
246,490,2013-03-14T13:00:00
247,491,2013-05-02T11:00:00
248,492,2013-02-27T14:00:00
249,493,2013-03-19T16:00:00
250,494,2013-03-14T15:15:00
251,495,2013-03-12T14:00:00
252,496,2013-02-28T08:50:00
253,497,2013-03-14T13:30:00
254,498,2013-03-19T00:00:00
255,499,2013-03-19T14:00:00
256,500,2013-03-14T14:00:00
257,501,2013-03-12T14:00:00
258,502,2013-02-28T13:00:00
259,503,2013-04-16T16:00:00
260,504,2013-02-27T10:00:00
261,505,2013-03-13T09:15:00
262,506,2013-03-14T10:30:00
263,507,2013-04-09T14:30:00
264,508,2013-03-19T13:00:00
265,509,2013-03-13T14:00:00
266,510,2013-03-13T13:15:00
267,511,2013-03-20T09:30:00
268,512,2013-03-12T15:15:00
269,513,2013-03-12T17:30:00
270,514,2013-03-14T13:00:00
271,515,2013-03-12T13:15:00
272,516,2013-03-13T13:00:00
273,517,2013-03-19T14:30:00
274,518,2013-04-05T13:00:00
275,519,2013-04-04T14:00:00
276,520,2013-03-20T08:15:00
277,521,2013-03-15T10:00:00
278,522,2013-03-19T13:45:00
279,523,2013-04-03T09:45:00
280,524,2013-03-14T10:15:00
281,525,2013-03-20T13:45:00
282,526,2013-04-18T09:00:00
283,527,2013-04-04T10:30:00
284,528,2013-04-17T14:00:00
285,529,2013-04-04T10:30:00
286,530,2013-03-20T10:15:00
287,531,2013-04-17T08:30:00
288,532,2013-05-08T08:30:00
289,533,2013-04-25T10:30:00
290,534,2013-03-20T10:45:00
291,535,2013-04-09T15:00:00
292,536,2013-04-04T14:00:00
293,537,2013-03-19T15:15:00
294,538,2013-04-02T09:30:00
295,539,2013-04-04T14:00:00
296,540,2013-03-20T14:30:00
297,541,2013-04-11T14:00:00
298,542,2013-03-20T11:00:00
299,543,2013-03-20T13:45:00
300,544,2013-04-04T10:30:00
301,545,2013-04-04T15:00:00
302,546,2013-03-20T11:00:00
303,547,2013-04-09T14:00:00
304,548,2013-04-16T14:00:00
305,549,2013-04-23T14:00:00
306,550,2013-04-02T15:00:00
307,551,2013-04-16T13:15:00
308,552,2013-04-25T14:00:00
309,553,2013-05-02T10:30:00
