aktørid,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
184,11.141299100443531,-12.592206456696806,0.12742643412047008,0.091903172617567,9.5384445,11.933402
121,11.314201005248515,-7.952995177014633,0.15990370244265123,0.042844361777525014,9.066688,11.680463
216,28.169566441691767,5.559003845325676,0.1410983604255299,-0.1198315351242993,2.6961505,17.059465
654,2.5965992202374713,-10.269101683634657,0.15732430067467024,0.23565574072035556,6.533179,15.034159
43,6.702775352975604,-13.166062355225993,0.02574672489038177,0.1721097982414821,9.087634,11.865353
34,-14.712652164790486,6.018443950579916,0.2772227128142638,-0.590297435920984,7.945499,17.184542
1385,4.6925950839423685,-10.46199391288889,0.23817090780519204,0.12661259557096646,8.789869,11.446632
197,7.632301508207605,-12.769148139129769,0.07840566507310325,0.1580694602665235,9.591425,12.038586
3092,-5.951820082852801,-19.846184220314132,0.28319431289977076,0.3324633093143842,6.042112,15.814621
265,-8.932622322775352,-2.0001399577241283,-0.1968435883811685,0.343643555249384,7.1881337,18.607708
1146,19.639453303224315,1.6728707768371391,0.20830595126812104,-0.0829852935162211,2.9120667,16.90789
246,11.54330117859297,-9.378436746753971,0.08332840300222376,0.055777184060571534,9.337772,12.144552
1371,-1.4276424842569397,-16.15701707912203,0.37190461331195684,0.24005942884149298,5.7212477,15.724215
205,14.177980654616912,-7.120692768733484,0.09555066525975536,0.0030339050262143488,9.617302,11.492708
171,0.5179182691101432,-5.190663424600581,-0.2118217150463353,0.16920239311762864,9.032989,13.377433
124,8.81850078687189,4.764380587514046,-0.12247007399813296,-0.16405203491843745,2.4808395,16.633753
3084,19.56868731873619,4.407800878823852,-0.0014888116180809619,-0.1215802400374665,2.7678628,16.605385
98,17.679765315342934,2.574014874560293,0.26309594471521314,-0.1086491908408178,3.6344602,17.066576
303,30.833215245941318,6.791174707056059,0.12038764278044221,-0.11960448354241501,2.8686767,17.253857
198,4.231607140051838,-7.913383674888803,-0.0942873309783792,0.13509720024270308,9.105359,13.055069
183,26.692255321028654,1.7873185692509077,0.16015783286724666,-0.08760914914768138,3.448345,17.056536
3082,21.24042157304669,2.050935763325452,0.1730915433291282,-0.07576676122115844,2.925643,16.817062
1755,15.123329103134681,3.409411451852414,0.23721322319770052,-0.12812935833952763,2.7677116,16.871399
1502,15.433347932940228,-5.727465617049199,0.04815744634630415,-0.02925909578167418,9.356434,11.7613325
49,28.475441084535703,3.4378160620572107,0.12793088439695074,-0.10316900764114413,3.1716306,17.713335
50,15.273391422357808,-3.6990982758962594,0.2576391054462794,-0.00546280149146272,3.3785946,17.010763
71,23.889201159717018,6.172889669516914,0.05162730799327259,-0.14367061998539804,3.194928,16.497862
856,3.5874543380843464,-1.8547870642755413,0.3766231736698952,-0.09144189996431876,9.55552,11.334547
152,-3.8306346280885797,1.2068106538732446,-0.2660638813940962,-0.14527172133797533,8.531551,16.650229
17,14.572119755261898,-7.373247825144627,0.03590115624569696,0.005882374450619103,9.631314,11.829882
351,6.785553617453587,-6.252011779266894,-0.11355255373717466,0.06925295331095728,9.218679,13.012582
158,16.889782541340416,-6.921924455131845,0.05690495854249731,-0.016059544723405175,9.493645,11.679209
5182,-10.675662492621571,-14.651843966409992,0.36515019128186577,0.37294036412277276,6.2297583,16.116798
117,-8.275037586636017,3.810177933391392,-0.34773958822751194,-0.27517894619206223,8.449108,18.30369
1619,8.08972151348869,-4.956108850058228,-0.10820676221182692,0.008691570839011677,8.796508,12.617898
221,18.113859507983566,10.950033297870355,-0.001653799351640326,-0.19873496256426892,2.1956997,16.848402
244,16.86922676682497,-13.709139187296735,0.0743411252096373,0.04840910060787736,9.536148,12.096313
1410,-12.866723762411338,-10.096290320748881,0.5516654522096893,0.2601178709070217,6.6022277,16.3496
1880,-10.569073608354032,1.5296088506609862,-0.41389451417048484,-0.13979894987171496,8.699606,18.221697
3085,10.352154193281764,-9.139012725648001,0.11309697980247119,0.07756209379618413,8.813668,11.846679
1951,10.559228109239728,-11.078605205430915,0.3196300288718081,0.09386839779671252,5.13246,15.884973
665,11.80710928949177,6.076701129772201,0.0253475104282626,-0.254541365873472,2.030138,17.050095
33,8.30202923547833,-6.721522396631048,0.19866717533834372,0.042364657819637414,9.618564,11.538736
193,25.14593432355345,-2.3235017208284114,0.13963927132000425,-0.052121128268806195,3.1872199,17.272383
56,17.779047205547375,4.086690896313279,0.210816577577774,-0.1597040616039521,2.3582613,17.34054
297,-2.552173424815847,-19.27766577135158,0.3068406500607357,0.2670187870724871,6.0283155,15.577826
80,20.96014556005995,-1.6028639285365907,0.17073366536974788,-0.03540880575406028,3.492783,16.927567
3090,22.130089703687474,7.3097823053192545,0.1719059683525489,-0.17313289379765878,2.833296,17.425613
4956,22.840376991909825,4.545528123709136,0.16486577034324074,-0.13663777450934061,2.2501657,17.368547
4969,3.0872368043898044,-3.9202228201272873,-0.08687757171673899,0.15823293222564871,8.670252,12.713241
1358,9.480287485160256,-8.08180809273176,-0.01421023379851186,0.049249326658094,9.0901375,12.187459
725,18.569722898482283,6.052812651473098,0.06403743208902249,-0.1984069119970327,3.3361406,16.356823
81,-5.097402724299329,-15.800307280185825,0.42176673891461486,0.2578909423143577,5.8211184,15.81951
1357,-4.781560193713677,0.6733040895566326,0.4815368490464164,-0.09762956670709937,9.06109,17.48598
653,7.9095926805994115,-5.341366392010799,-0.12486812995031842,-0.007145461629166548,9.386681,12.828823
1299,20.744136626080074,6.318283149747305,0.025490197613282944,-0.16343795969915142,2.2246575,16.760632
