aktørid,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
220,8.43053373380079,-3.3448524321111646,-0.018397021923759267,0.20576118126728757,5.3709564,3.7126262
121,-11.19728238629976,2.1193857759532952,0.4746134597423672,0.09773271398045143,9.103853,-2.4543836
93,8.082050897095412,-12.2477806712752,-0.11215850764971108,0.19808138686867088,7.4539895,5.659144
120,10.497436101554618,-1.5229141909836879,-0.11616882675808003,-0.07555109969383286,4.9947405,4.8027906
34,8.43801752551546,-2.212553048428132,-0.14978878297272774,-0.06414340877315444,8.33758,4.2919908
197,-23.437518281741784,-0.9941788765255118,-0.43236080977793623,-0.7381278175258734,8.408994,-1.7122741
1146,-0.8762522044012834,5.807712272982102,0.22957784473742981,-0.1962604719102577,8.674827,3.74373
244,11.622199113093227,-13.448347172421709,-0.16555345340474106,0.09988075376689659,6.8421693,6.1056714
273,23.499179890253455,-4.933427191549351,-0.016560660456282877,0.037715677871683534,6.1987815,4.7216973
199,-6.703249072151916,-1.963740801271089,-0.0072381516459017374,0.402520192885499,8.86472,-1.4091061
1454,-3.438140578744061,-9.637177705177065,-0.38453752389848533,0.052528302875942345,10.058355,-1.2738534
173,-5.195574372387667,2.3915980895114974,0.33773403353327985,0.1793090086248836,8.821288,-0.2787192
178,-1.7086736723206102,-8.413968042116553,-0.3725142950897284,-0.014523021039548915,9.820292,-0.788127
180,24.26585849216444,-4.846076727614269,-0.04916715874045751,0.0006398213616427821,5.91393,5.3927326
257,16.049011155463823,4.676024214411497,0.05646663640083524,-0.10620630523358644,5.5551353,5.191078
217,1.9034179177865462,13.098399056249606,0.3018507870527841,-0.12688442030410105,7.167552,2.376038
130,2.890826087848093,4.008553458307429,-0.08094104790820086,-0.3178161050141296,7.6723557,4.3394766
80,15.180888520800332,-3.413587953029818,0.006388987142434751,0.0976110145928783,5.9420247,4.2697887
97,8.471023600298112,11.12456322262386,0.08800805668366693,-0.24100836199418196,7.853404,3.7989352
264,8.473305435364209,-15.134398662155606,-0.19114094128383455,0.13902229740900882,7.0373883,6.2844663
182,-16.37299516624405,3.025147156148583,0.16872213581501574,-0.5624729594464913,8.010331,-1.0397762
18,1.9726671668435878,3.8386149264421054,-0.04193400749881628,-0.290242640886377,8.031742,3.7921143
164,23.646738097288935,1.3476662949752631,0.01700094909001054,-0.011590616738292923,5.482982,4.878855
134,-5.404763066433821,-8.7542068061596,-0.15276391123924452,0.36088986315719496,10.540517,-1.8274934
118,20.556326097294818,6.703315590593118,0.03867747352075326,-0.0904736674357821,6.110809,4.9548497
113,9.084572504431268,3.1830288304385532,0.024887736558063173,-0.13301167289029908,8.355272,4.382371
207,-23.691967551246027,-1.0962760630274515,-0.7492448046826977,-0.4588822593479791,8.124492,-2.1301217
127,22.825840613691913,-0.20442493635744446,-0.010174446440505741,-0.015561515074762595,4.946437,5.2321463
102,10.611988956882993,-2.260380243181191,-0.15113660405702306,-0.14430016340548238,6.4670444,5.722803
