congress,pca,mds,umap
01_05,7.836850165809023,1.0571422807500797,6.812753416356495
05_07,2.1921033098117313,1.9369101375494207,2.7410739871977494
07_11,2.2483491273399685,1.9389073269954165,2.5963506676194426
11_15,2.0926877521964844,2.1249650353806304,2.9223442127338366
15_19,2.7316731678799138,2.1963941781792666,3.591777535804106
19_22,2.194592357251617,2.1507410558147666,3.0350564309296155
