congress,nominate,pca,mds,umap
095,2.169315351369169,3.544842555871058,2.171329118413461,4.0932869742103195
096,3.184401166544415,4.4553903248274205,1.756104277823059,6.07343725441041
097,2.753209234570901,1.9247674657248948,2.053779042939717,5.018635068667637
098,6.978568695292216,12.256505713956516,3.3771993847938013,7.496715550982146
099,19.10920618748007,31.985162200537328,1.2732173413693124,45.142659998865774
100,23.367953521299636,36.88175245707145,23.866328622463737,49.275820801345176
101,12.476610941858779,14.880315556913226,13.369243902210304,23.848886492987123
102,9.405273489731556,13.362600506739733,6.397139670966987,23.26614876431134
103,93.5213387138824,135.66308075135288,89.15553908679499,212.3157953524808
104,155.99819974707745,309.3064904895949,77.00423441510905,296.3470902777027
105,121.47571494734329,221.9240663985169,54.69018473437416,249.30149246704912
106,5.795333807351689,10.906269310829556,3.6634484839479207,12.859774449675001
107,6.696190439928435,12.165506921264779,6.914732799467662,14.179337366479183
108,88.190524681455,174.53418545757071,71.36248826114578,195.3664575768081
109,33.6282442997966,65.4003038786859,29.89258917821993,67.94541229469064
110,102.99878440157624,141.08404119770802,27.451536518364694,179.0086033412889
111,71.32456404571602,80.33555673079175,65.3579651980483,133.77039380053827
112,34.59546648113599,65.43378751894171,45.49308682726932,52.07343175434118
113,66.69948583326511,129.08470175108482,94.67942127307238,123.99567484867814
114,104.30856992469606,205.8307262146029,83.58235717517759,206.90966144988639
115,28.553430862723797,39.439509488827234,33.32176323077711,55.43893955439715
116,9.128154635684437,12.410760538935268,9.200119127486232,15.932036584567024
117,100.02830256101372,98.5144891803631,102.80469395861199,166.87863021653104
118,122.39621651954498,150.40899150996108,119.56953037727915,220.56002343486307
