,congress,pca,mds,umap
0,01_05,7.8368501658090235,4.081165959060194,6.913838711404223
1,05_07,1.9770160852773602,1.6885850855221523,2.8308638819105627
2,07_11,1.9269256520660796,1.944316533995532,2.0746170135602995
3,11_15,1.7845877217175448,1.7879041367563229,1.5417204637157296
4,15_19,2.7316731672032684,2.1700485955107474,3.5806145105537066
5,19_22,1.9037544236572415,2.10685507337118,2.3957930807600776
6,22_present,2.266887682177346,2.014666793790551,2.6451389795049276
