aktørid,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
220,8.430533731536258,-3.3448915762211797,7.893125643733314,-22.28896074183588,6.3628364,4.4057207
121,-11.197282385521618,2.119394304470434,3.536988428001447,16.1483099355386,-0.026064381,7.5643034
93,8.08205089533161,-12.247812504212217,15.669861813531517,-22.732572759272784,5.421927,1.8329222
120,10.497436100653472,-1.522925985019888,4.812394956635467,-27.99075288501516,7.6189046,3.7374396
34,8.438017525549453,-2.2125610729431706,0.485585433688893,-13.612411687714706,3.8899245,2.807158
197,-23.437518281945245,-0.9941825754988033,16.203939758773096,21.077585111292755,1.0449736,7.477552
1146,-0.8762522021167796,5.807714285855797,-10.975858681351262,12.806403797165867,3.3500988,3.3587575
244,11.622199112541976,-13.44835673011619,12.138963419165897,-27.33847791753707,6.1652846,1.7494539
273,23.499179891010947,-4.933407189520683,-11.145160242314878,-28.725050052716163,6.334748,3.0994875
199,-6.703249072916322,-1.963734816531604,16.123670644770577,1.596683698063648,0.5598474,7.0157404
1454,-3.438140576143909,-9.637159951097471,24.547312456554018,-7.306522433624831,-0.8048648,6.7015305
173,-5.195574373063255,2.3916083185818864,-8.010336382863757,20.690021764159408,0.9219894,6.3175526
178,-1.708673673176046,-8.413967498674282,24.66789502330693,-9.922443294651254,-0.47197428,6.15369
180,24.265858492316006,-4.846079218765477,-10.862912429916584,-30.00786619505389,6.861066,2.8403602
257,16.04901115334129,4.675979628213577,-28.455397351220952,-8.26367948534102,6.963682,3.3503761
217,1.9034179152754689,13.098370370374509,-22.27516311435226,18.35848625654796,3.4257228,4.857278
130,2.8908260882433323,4.008556334216381,-23.072231832332534,14.733629032523092,4.5882134,2.6032226
80,15.180888523159204,-3.4135750157088576,-2.339011729281301,-27.77366629870299,6.285119,3.366166
97,8.471023601379686,11.124580631082097,-26.53621817593648,8.777201389301036,4.4805417,3.2537389
264,8.473305433471635,-15.13443041178542,15.034587375801069,-24.82302328464907,6.0285263,1.4366453
182,-16.372995165426474,3.0251491025779176,6.277977142875441,21.395075438742314,1.4379451,7.161835
18,1.972667167871074,3.838645970912712,-8.679411702297331,5.982186113924821,4.228056,2.9744058
164,23.646738097598053,1.3476685209880666,-19.666639332160038,-24.857731572159096,6.767562,3.4005604
134,-5.404763066763542,-8.7542074507115,22.396610811814316,-4.241738956972677,-1.4154615,7.3518734
118,20.55632609749458,6.703336975074354,-26.926091444527998,-16.127615075437564,6.7824135,3.1577854
113,9.084572503706685,3.183019909886462,-7.394972226458766,-8.94226564521757,4.1647444,3.0008376
207,-23.691967551302604,-1.0962778957751254,16.594742626564624,20.506875681272195,1.3107405,7.8696394
127,22.82584061340324,-0.20442425081798488,-16.973291596772327,-26.478297605613754,7.450995,3.147318
102,10.611988956640303,-2.2603922961054472,6.141460266364573,-25.544001980056652,6.3775415,1.9892316
208,4.296712183152698,-3.2466765627016994,-18.827173981811075,5.653909701892473,-0.32159624,6.008857
266,15.754889413855542,0.44835213263029533,-25.434356789757498,-14.502903542948145,7.1626997,4.1065106
181,-2.6133924537813376,19.404667806625078,-16.475280055397608,23.250065073948587,2.6967707,5.0551996
110,-10.598989919991999,-7.901814960897021,26.527300921458433,4.669322127517677,-1.1663253,7.5871563
168,22.029888238967416,5.638238877348977,-23.07047977708332,-19.558064434002315,5.542405,3.3250985
99,11.67124948901315,2.766396818265468,-13.374927259656493,-14.198754566969141,6.898327,3.9781568
219,3.3723246648861007,3.5475801392236637,-10.358754894979935,4.485433851627945,3.608175,4.2293744
112,18.017518015948895,-3.8404046088225545,-7.95623100688563,-24.476421630965138,6.217114,3.6222358
172,8.344402283303202,0.6142138984818041,-23.067977546834896,-2.612301090697521,5.9569855,2.7358415
262,-23.701736359266974,-1.1052375385285966,16.730802846960685,20.490338001610013,0.96964663,7.87826
214,9.63719845419401,5.471760013870614,-24.592209546051844,1.5495188648139029,4.1244273,4.1557236
15793,1.4597464383788838,10.843033867837152,-18.970451708746328,16.521206814830578,3.4412649,4.951421
15787,14.797951055901525,9.443575328912496,-29.582239144109224,-4.973189755231862,6.0446877,4.5965548
15757,-23.701736359266974,-1.1052375385285966,16.730802846960685,20.490338001610013,0.9093735,7.736606
15763,8.271971077618321,-2.1369984429426077,-1.949795917225574,-10.953630650075,4.916234,2.8063164
15770,6.521744183057537,2.7568601183101737,2.118584483243783,-11.38063769202715,4.6715345,2.9655828
15776,6.764294622409598,2.215803029319225,-17.821308066674195,0.8963485022043919,4.4400654,2.6967459
15760,6.560343368098906,-3.4619311177346974,11.907077083761372,-20.170997867748866,4.916327,3.162609
16180,12.376694592683851,15.885766799244262,-29.779035058459773,3.412038544900032,4.346192,4.580207
16351,23.170899014696538,4.4129907566261535,-23.567273678639044,-20.36965424717276,6.272694,3.2247214
16582,-4.560244862232664,14.109511712487505,-10.449455929243845,24.958341670412914,1.5592867,5.4852514
17141,3.5413884411290266,3.968984247972365,-14.429960129968965,5.375552509625064,4.09424,2.741756
17629,-1.086842138707797,9.601749760954059,-17.125072153181723,19.534422361440164,3.5333586,4.8686852
17628,7.244358608422892,7.789967781236175,-22.36048828708093,4.741442650637408,5.8316073,4.3114567
9976,11.536628246627862,7.993782606073523,-20.775788012135067,-4.554521931229041,5.908006,4.2646832
18706,-1.3654158360509296,0.32054218331626055,-9.788961806334692,15.616289843877547,-0.19375859,6.3184414
18701,6.281633540690219,-8.528456103347114,15.626235758755142,-20.78720875374568,6.1579485,1.7149001
18717,18.543913372315043,-2.859354301653158,-5.247018694758941,-30.45246549647392,6.692083,2.5594602
18696,11.998104299922982,8.47124715104245,-29.36208847990387,0.3854866751234492,4.6729727,4.293101
18720,18.202375673834926,6.737903219404476,-28.975136700732072,-10.82017778514525,6.7370863,4.2930236
18713,-9.03773607176397,4.576749846654427,-0.9873824717738461,17.567925627851494,1.838069,7.2935743
18714,-11.621345714063976,13.777403683677639,-2.8027992196928113,27.222957846139398,1.7070407,5.4546733
18718,20.92854539754285,-4.390014713236224,-9.592778511775796,-28.095557708246165,6.3765516,3.0833907
11702,6.864083198984234,-4.501601598357337,10.864734737405689,-17.333928911191208,3.410707,2.8243108
18699,8.255581637579985,-20.071468179151275,19.808732865156472,-22.526020102207912,5.7903123,1.1053015
18725,9.61591942462297,0.16132365627961784,-6.6023948696939,-16.22721052071494,7.4479384,3.7108965
18729,14.571011762097072,-2.056718693349236,-5.3052940828633,-21.546198704098813,6.2600794,4.0514784
18694,6.705105011174091,-0.5372485515383403,4.36784231713748,-15.813690165278068,6.085857,4.159589
18723,3.4735751186658352,-14.382808299074071,22.28069729219026,-15.860124375073006,5.5898223,0.9827462
18693,-17.11702001200959,6.182242370812829,5.36676870167097,26.241063523557703,1.4649944,6.9125485
19000,20.692989369799633,1.3293587666340558,-14.599960547148195,-20.247976324061266,6.400264,3.9519045
19928,11.680664559637941,-6.115652353908464,8.24351655190511,-26.28544538770889,6.423815,2.0591135
20359,6.128581196329443,2.7865850144063264,-7.106325290295675,-4.266678453270365,4.1373005,3.9347982
20355,3.89516905339902,-5.421282251168017,14.499175574000052,-13.31468443747698,3.4588223,2.7289817
20358,5.186453919472068,-4.273296164079288,9.803766818093143,-13.396302421949768,5.675467,4.0996976
20356,9.749890602376368,-0.8652062453219391,-4.259210592033935,-12.221766748734735,3.7941837,2.7192283
20399,11.80586636293754,-0.5344446398078171,-23.334792936618157,-8.200404811074515,7.1482086,4.161592
20352,4.1232390385040265,-15.955535643228387,21.18345815888721,-17.154608530507673,5.8606915,1.0072469
20376,8.57296753840159,3.6342705499101595,-12.720837746243554,-4.0876759538791925,3.9406576,2.7082958
20363,17.89672161527307,5.821036120420302,-28.44321679349319,-12.245651005788385,6.726276,3.30234
20393,13.35225725776418,-1.2100559014553238,-7.275157895850065,-21.501335262866597,6.182889,3.3535872
20368,19.34698019462992,1.0016106291238636,-17.140579616990916,-23.484587926429327,7.5698786,3.147114
20378,-3.9996223670684192,13.115112907842091,-14.04088590680336,24.518658811934756,2.0689712,5.5246134
20349,-18.66932980326352,6.496182427782027,6.990226778824461,26.331729111013292,1.4361677,6.855644
20353,-0.8958653337222532,10.8311500104401,-14.64410301922371,18.375784225744884,1.7860721,5.349372
20390,14.918436779292792,2.0349034592015385,-19.045126805863383,-16.038137076361217,7.6662154,3.2027483
20384,1.6553706532159405,0.5852025247252246,-14.843671868744773,11.33848445903285,3.362197,5.306349
20385,17.22255166705005,-4.658933025746382,-6.252679027377472,-29.061847529207704,7.688313,3.5823185
