aktørid,pca_1,pca_2,mds_1,mds_2,umap_1,umap_2
184,11.14129910042475,-12.592202091701933,0.1274264341204692,0.09190317261756696,13.334028,11.011795
121,11.31420100524665,-7.9529902957970116,0.15990370244265092,0.04284436177752503,13.517845,11.908811
216,28.1695664416437,5.559007876031459,0.1410983604255298,-0.1198315351242994,4.266757,13.097251
654,2.596599220254724,-10.269114331981,0.1573243006746689,0.23565574072035578,14.329633,12.683809
43,6.702775352947162,-13.16606242801958,0.025746724890383623,0.17210979824148226,13.253724,11.829386
34,-14.712652164831749,6.018451594096631,0.2772227128142623,-0.590297435920984,19.163782,12.904891
1385,4.692595083878131,-10.461986031525717,0.23817090780519243,0.12661259557096627,12.839904,11.765526
197,7.632301508138616,-12.769143095757535,0.07840566507310251,0.15806946026652352,13.598768,11.281097
3092,-5.951820082887815,-19.846180114225174,0.28319431289977065,0.33246330931438406,16.666834,14.350753
265,-8.932622322817721,-2.0001410019764703,-0.1968435883811675,0.3436435552493852,20.837936,13.539019
1146,19.639453303164018,1.6728769923792672,0.20830595126812115,-0.08298529351622133,4.4339437,12.9213085
246,11.543301178598387,-9.37844248208058,0.08332840300222284,0.05577718406057151,13.604428,10.98189
1371,-1.4276424842445237,-16.157017743827275,0.37190461331195734,0.240059428841492,16.47691,14.453361
205,14.17798065466788,-7.120701210627761,0.09555066525975461,0.003033905026214063,13.9033575,11.804786
171,0.5179182690518767,-5.1906508912283424,-0.2118217150463364,0.16920239311762783,15.224933,11.639826
124,8.818500786896276,4.764377626851211,-0.12247007399813309,-0.1640520349184376,4.670275,13.338783
3084,19.56868731868662,4.407804038870634,-0.00148881161808121,-0.12158024003746645,4.699653,13.064296
98,17.67976531527346,2.574023560151902,0.26309594471521314,-0.1086491908408176,4.5825863,12.174975
303,30.833215245917657,6.791181641493026,0.12038764278044194,-0.11960448354241486,4.1135798,12.828576
198,4.23160714008619,-7.913390491823248,-0.09428733097837495,0.13509720024270586,14.993993,11.722608
183,26.692255321027996,1.7873254197553659,0.16015783286724639,-0.0876091491476813,4.4985275,12.381665
3082,21.240421573041385,2.0509367846298856,0.17309154332912843,-0.07576676122115876,4.51853,12.880558
1755,15.123329103084426,3.4094143412333926,0.23721322319770094,-0.12812935833952793,4.429184,12.991144
1502,15.43334793296243,-5.727461856394245,0.04815744634630387,-0.02925909578167429,13.50583,11.55809
49,28.475441084538392,3.4378117562902246,0.12793088439695077,-0.10316900764114405,4.0747604,12.480306
50,15.273391422279117,-3.699094455473006,0.2576391054462792,-0.005462801491462782,4.4121647,12.421003
71,23.88920115971478,6.172881309231757,0.05162730799327227,-0.14367061998539765,5.0380073,12.769911
856,3.587454338151741,-1.8548011821385808,0.37662317366989545,-0.09144189996431984,13.841126,11.9358835
152,-3.830634628068588,1.2068099149674443,-0.2660638813940969,-0.1452717213379738,18.698153,12.26641
17,14.572119755255475,-7.373240865282094,0.03590115624569645,0.0058823744506187655,13.381978,11.227043
351,6.785553617415424,-6.252013770081295,-0.11355255373717425,0.06925295331095817,14.787465,11.496254
158,16.889782541318183,-6.921922475335707,0.05690495854249701,-0.016059544723405355,13.740855,11.516197
5182,-10.675662492593965,-14.651852524449623,0.3651501912818653,0.37294036412277265,17.141027,14.440586
117,-8.275037586576707,3.8101739419378173,-0.3477395882275118,-0.27517894619206235,20.468254,12.427034
1619,8.089721513500715,-4.9561100406432335,-0.10820676221182743,0.008691570839012045,14.40135,11.965923
221,18.11385950802977,10.950036001657326,-0.0016537993516404865,-0.1987349625642688,4.4464498,13.608344
244,16.869226766823335,-13.709138187911465,0.07434112520963715,0.04840910060787706,13.578953,11.310489
1410,-12.866723762390258,-10.096297954628442,0.5516654522096902,0.2601178709070203,17.677004,14.286905
1880,-10.56907360834201,1.5296085594068125,-0.4138945141704845,-0.13979894987171387,20.442402,12.127436
3085,10.35215419321442,-9.139011931602488,0.11309697980247062,0.0775620937961841,13.112666,11.574899
1951,10.559228109272123,-11.078612769035228,0.3196300288718078,0.09386839779671215,15.792137,13.971384
665,11.807109289453704,6.0766922809117405,0.025347510428261763,-0.2545413658734719,4.2560363,13.803013
33,8.30202923552875,-6.72151873530001,0.1986671753383433,0.042364657819636824,13.681712,11.543257
193,25.14593432353689,-2.3235064076430056,0.13963927132000428,-0.05212112826880636,3.9958212,12.427902
56,17.77904720550971,4.086700645977693,0.21081657757777408,-0.15970406160395167,3.9799347,13.407138
297,-2.552173424737366,-19.27767018290808,0.30684065006073574,0.26701878707248655,16.25759,14.169675
80,20.960145560119482,-1.6028629871816489,0.17073366536974777,-0.03540880575406011,4.6248164,12.4528885
3090,22.130089703766174,7.309779408452987,0.17190596835254887,-0.17313289379765906,3.9042692,12.839621
4956,22.84037699190654,4.5455357679186035,0.1648657703432403,-0.13663777450934092,3.935553,13.53152
4969,3.0872368044288008,-3.920230714581662,-0.08687757171674511,0.15823293222564566,14.560205,12.161648
1358,9.480287485223865,-8.081810473643111,-0.014210233798511994,0.04924932665809407,13.3241415,11.729321
725,18.569722898476616,6.052809203989144,0.06403743208902231,-0.19840691199703273,5.24115,12.605683
81,-5.097402724323365,-15.800308362330789,0.4217667389146146,0.2578909423143572,16.599,14.363338
1357,-4.7815601937230765,0.6733128925332967,0.48153684904641547,-0.09762956670709995,19.553709,11.869308
653,7.9095926805792995,-5.341367068491251,-0.12486812995031832,-0.00714546162916588,14.540086,11.286367
1299,20.74413662605402,6.318276230437495,0.025490197613282296,-0.16343795969915148,4.546157,13.550074
82,24.280221680758427,3.933735920637509,0.13263029770502333,-0.11548287521665554,3.975658,13.4968605
187,7.323033156912791,-12.546872614705846,0.023499253115719418,0.14545692617112052,14.172511,11.075374
226,-11.296764902354017,1.5467038153877801,0.5066533580912389,-0.2831214201246164,17.900143,13.177206
179,26.601405217201055,7.66961566151809,0.10620775492354739,-0.1515489842281778,3.7296965,12.595406
296,-4.629419635286327,-13.676191192445875,0.42886137579735817,0.22052114384013669,16.64153,14.461022
1822,12.771113903426354,-3.221785301104505,-0.04081602405776285,-0.05488734385841898,14.262332,11.45753
212,29.49798234003045,2.320683072071266,0.09552931944714631,-0.0969264189967576,4.190727,13.408549
1749,-4.528599116049929,7.069432735701793,0.3246844496818821,-0.42491951082558527,18.78038,13.270706
1090,20.353177010633825,10.776825043334174,0.15088683301713754,-0.21988239715128519,3.6722407,12.709631
350,6.238864210451382,9.93046067866696,-0.09747659692169633,-0.2912876390258042,5.6814837,13.090909
125,4.861943655634447,7.432182233953907,0.3156680834768717,-0.28756235081084075,17.847517,13.123982
